,total_count,pole_id,longitude,latitude,midday,am_early,am_peak,pm_peak,pm_late
0,10.767183098591548,1-1004,-117.16392900000001,32.715903999999995,5.096619718309858,0.2984507042253521,2.0661971830985917,3.19112676056338,0.1147887323943662
1,11.283732394366197,1-1006,-117.16393000000001,32.716037,5.578732394366197,0.28697183098591544,1.9054929577464788,3.4551408450704226,0.0573943661971831
2,10.927887323943661,1-1008,-117.163931,32.716169,5.050704225352112,0.13774647887323943,2.2613380281690136,3.4321830985915494,0.045915492957746475
3,10.04401408450704,1-1020,-117.161278,32.717890000000004,3.776549295774647,0.16070422535211265,1.8825352112676055,4.166830985915492,0.0573943661971831
4,12.36274647887324,1-1310,-117.163951,32.719024,7.105422535211267,0.5739436619718309,3.4207042253521123,1.2511971830985915,0.011478873239436619
5,12.718591549295775,1-1312,-117.163952,32.719161,7.713802816901408,0.3214084507042253,3.524014084507042,1.1249295774647885,0.03443661971830986
6,12.282394366197183,1-1313,-117.16377,32.719297999999995,7.426830985915492,0.3099295774647887,3.5469718309859153,0.9757042253521125,0.022957746478873237
7,13.326971830985917,1-1314,-117.163953,32.719453,7.644929577464789,0.5165492957746479,3.7995070422535204,1.354507042253521,0.011478873239436619
8,11.111549295774648,1-1315,-117.163772,32.719571,6.784014084507041,0.14922535211267604,3.12225352112676,1.056056338028169,0.0
9,11.203380281690139,1-1317,-117.163772,32.719707,6.956197183098591,0.1951408450704225,3.3518309859154924,0.7002112676056337,0.0
10,11.329647887323944,1-1400,-117.163956,32.720079999999996,7.0021126760563375,0.09183098591549295,3.3747887323943657,0.8494366197183097,0.011478873239436619
11,11.455915492957745,1-1402,-117.163956,32.720212,6.336338028169014,0.09183098591549295,3.90281690140845,1.113450704225352,0.011478873239436619
12,8.781338028169014,1-1410,-117.16395700000001,32.720345,5.291760563380281,0.0573943661971831,2.4794366197183098,0.9527464788732394,0.0
13,8.82725352112676,1-1412,-117.16395700000001,32.720496000000004,5.509859154929577,0.022957746478873237,2.330211267605634,0.964225352112676,0.0
14,10.124366197183098,1-1420,-117.16395800000001,32.720628999999995,6.669225352112676,0.022957746478873237,2.651619718309859,0.78056338028169,0.0
15,9.114225352112676,1-1424,-117.163959,32.720760999999996,5.6590845070422535,0.011478873239436619,2.743450704225352,0.6772535211267605,0.022957746478873237
16,8.01225352112676,1-1500,-117.163959,32.721055,4.844084507042253,0.011478873239436619,2.9730281690140843,0.1836619718309859,0.0
17,7.277605633802816,1-1502,-117.163959,32.721131,4.912957746478873,0.0,2.0317605633802813,0.33288732394366194,0.0
18,7.369436619718309,1-1504,-117.16396,32.721227,4.8326056338028165,0.022957746478873237,2.238380281690141,0.27549295774647886,0.0
19,6.370774647887323,1-1506,-117.16396,32.721303000000006,3.90281690140845,0.03443661971830986,2.100633802816901,0.33288732394366194,0.0
20,6.336338028169014,1-1508,-117.16396,32.721379999999996,3.8683802816901407,0.03443661971830986,2.054718309859155,0.3443661971830986,0.03443661971830986
21,5.395070422535211,1-1510,-117.16396,32.721455999999996,3.7535915492957743,0.0,1.4922535211267605,0.14922535211267604,0.0
22,5.923098591549295,1-1512,-117.16396,32.721532,3.7421126760563377,0.022957746478873237,1.9169718309859154,0.241056338028169,0.0
23,5.062183098591549,1-1514,-117.16396,32.721609,3.512535211267605,0.0,1.354507042253521,0.1951408450704225,0.0
24,4.407887323943662,1-1516,-117.16396,32.721703999999995,2.8811971830985916,0.0,1.2856338028169012,0.241056338028169,0.0
25,5.303239436619718,1-1518,-117.16396,32.721781,3.271478873239437,0.011478873239436619,1.6414788732394365,0.37880281690140843,0.0
26,5.004788732394366,1-1524,-117.16396,32.721857,3.29443661971831,0.0,1.4348591549295775,0.27549295774647886,0.0
27,4.407887323943662,1-1526,-117.16396,32.721968,3.007464788732394,0.011478873239436619,1.1478873239436618,0.241056338028169,0.0
28,9.458591549295775,1-2001,-117.163823,32.726293,5.5328169014084505,0.0,2.6057042253521128,1.3200704225352113,0.0
29,10.181760563380282,1-2005,-117.163823,32.726409999999994,5.888661971830985,0.022957746478873237,2.433521126760563,1.8366197183098592,0.0
30,8.82725352112676,1-2007,-117.163824,32.726507,4.706338028169014,0.0,2.7319718309859153,1.3774647887323943,0.011478873239436619
31,8.6206338028169,1-2009,-117.163825,32.726623,4.671901408450704,0.0,2.525352112676056,1.4233802816901406,0.0
32,8.540281690140844,1-2011,-117.163826,32.72672,4.281619718309859,0.022957746478873237,2.6057042253521128,1.63,0.0
33,7.070985915492958,1-2013,-117.163827,32.726836,3.97169014084507,0.03443661971830986,1.8480985915492958,1.2167605633802816,0.0
34,8.505845070422536,1-2021,-117.16382800000001,32.727049,4.534154929577465,0.0,1.928450704225352,2.0432394366197184,0.0
35,8.310704225352113,1-2118,-117.16401299999998,32.7275,3.9946478873239433,0.022957746478873237,2.5597887323943658,1.7103521126760561,0.022957746478873237
36,12.041338028169013,1-2214,-117.16401599999999,32.728390999999995,5.716478873239437,0.0,3.133732394366197,3.19112676056338,0.0
37,12.316830985915493,1-2215,-117.163831,32.728483000000004,5.934577464788732,0.09183098591549295,3.248521126760563,3.041901408450704,0.0
38,11.421478873239437,1-2217,-117.163829,32.728578000000006,5.877183098591549,0.03443661971830986,2.8582394366197184,2.651619718309859,0.0
39,10.962323943661971,1-2219,-117.163827,32.728673,5.578732394366197,0.0,2.743450704225352,2.6401408450704227,0.0
40,12.144647887323943,1-2221,-117.163825,32.728768,6.141197183098591,0.03443661971830986,3.5010563380281687,2.467957746478873,0.0
