,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
2560,iron pig alehouse,92109-3016,7,28,25,35,25,Food & Drinks,32.799749199999994,-117.2422572,119
2561,p f chang's china bistro inc,92108-1129,27,6,3,27,30,Only Drinks,32.7700387,-117.16347900000001,93
2562,la haina beach house llc,92109-5017,27,6,3,27,30,Only Drinks,32.791736,-117.25515890000001,93
2563,manila fastfood rest & desserts,92126-2716,7,28,25,35,25,Food & Drinks,32.9136976,-117.13054960000001,119
2564,ocean room,92101-6916,7,28,25,35,25,Food & Drinks,32.7120842,-117.16039040000001,119
2565,cherrybomb,92101-2001,27,6,3,27,30,Only Drinks,32.728819,-117.16380890000002,93
2566,thai village,92109,7,28,25,35,25,Food & Drinks,32.797864399999995,-117.2561209,119
2567,afghanistan khyber pass inc,92103-3117,7,28,25,35,25,Food & Drinks,32.748033,-117.159856,119
2568,saigon restaurant,92115-4313,7,28,25,35,25,Food & Drinks,32.7549632,-117.09824920000001,119
2569,ruth's chris steak house,92130-2046,7,28,25,35,25,Food & Drinks,32.928068100000004,-117.2388024,119
2570,california pizza kitchen,92108-1146,7,28,25,35,25,Food & Drinks,32.768142,-117.1698284,119
2571,starbucks coffee #5797,92101-3351,7,28,25,35,25,Food & Drinks,32.716492800000005,-117.16866100000001,119
2572,rubios fresh mexican grill,92126,27,6,3,27,30,Only Drinks,32.9152442,-117.1204364,93
2573,mony ice cream,91950-3228,3,25,20,18,5,Only Food,32.6725858,-117.1099456,70
2574,panda express,92103-2086,7,28,25,35,25,Food & Drinks,32.749976600000004,-117.16443190000001,119
2575,starbucks coffee 5784,92122-1135,27,6,3,27,30,Only Drinks,32.8697811,-117.21548119999999,93
2576,sombreno mexican food,92131-4602,7,28,25,35,25,Food & Drinks,32.9383439,-117.10112590000001,119
2577,lolitas taco shop,92111-1101,7,28,25,35,25,Food & Drinks,32.8320588,-117.16066629999999,119
2578,triple crown pub,92116-1645,27,6,3,27,30,Only Drinks,32.763186,-117.124429,93
2579,gordon biersch brewery restaurant,92108-3211,27,6,3,27,30,Only Drinks,32.7671084,-117.1539169,93
2580,rubios fresh mexican grill,92115-7134,27,6,3,27,30,Only Drinks,32.7422634,-117.0517606,93
2581,barbarella's,92037-3215,27,6,3,27,30,Only Drinks,32.8536338,-117.2561246,93
2582,henry's pub,92101-6964,27,6,3,27,30,Only Drinks,32.7119331,-117.1604128,93
2583,rei do gado,92101-6123,7,28,25,35,25,Food & Drinks,32.715206699999996,-117.1607752,119
2584,pegasus cafe,92128-2509,7,28,25,35,25,Food & Drinks,33.017482300000005,-117.07503510000001,119
2585,m & n foods llc dba carl's jr.,92128-2527,27,6,3,27,30,Only Drinks,33.017179600000006,-117.0754763,93
2586,greek corner cafe,92128-4611,7,28,25,35,25,Food & Drinks,32.98137,-117.07542930000001,119
2587,golden state seafood rest,92126,7,28,25,35,25,Food & Drinks,32.9191286,-117.1211199,119
2588,jamba juice #371,92093-5004,27,6,3,27,30,Only Drinks,32.8824069,-117.23481720000001,93
2589,oggi's pizza & brewing co mission valley`,92108-4737,7,28,25,35,25,Food & Drinks,32.779882199999996,-117.1293072,119
2590,taco fiesta,92110-5604,27,6,3,27,30,Only Drinks,32.7533874,-117.2238386,93
2591,rubios fresh mexican grill,92122-1212,27,6,3,27,30,Only Drinks,32.8712569,-117.2097355,93
2592,golden hill coffee shop,92102-2114,7,28,25,35,25,Food & Drinks,32.7165355,-117.140045,119
2593,mariscos el titanic,92105-3422,7,28,25,35,25,Food & Drinks,32.744237,-117.10123200000001,119
2594,taco bell #20470,92154,27,6,3,27,30,Only Drinks,32.5767808,-117.081139,93
2595,la dolce vita ristorante,92037-3614,7,28,25,35,25,Food & Drinks,32.8487991,-117.2717189,119
2596,stir krazy mongolian grill & juice krazy,92128-2002,27,6,3,27,30,Only Drinks,33.0255311,-117.075028,93
2597,the art of espresso,92037,3,25,20,18,5,Only Food,32.8824069,-117.23481720000001,70
2598,the prado at balboa park,92101-1661,27,6,3,27,30,Only Drinks,32.732482899999994,-117.149225,93
2599,sammy's woodfiredpizza,92131-3906,27,6,3,27,30,Only Drinks,32.9363177,-117.0968058,93
